source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
1PWRwn_G8jmHbmqO9-jMs2N1dcdJKt0Nd,5.jpg adlı dosyanın kopyası,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/REVİZE DOSYALARI/Tamamlanan Revizeler/Haberci Nota - GÖRSELLER Revize/5.jpg adlı dosyanın kopyası,image/jpeg,1pRZe0GPhxXtMoWNDfkXau39ZfBtEqYkX,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/REVİZE DOSYALARI/Tamamlanan Revizeler/Haberci Nota - GÖRSELLER Revize,COPIED,
1GPB0QK-kOOI42Tokwb4E0KErWLU3AqyW,1.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/1.jpg,image/jpeg,1moMLrAZiuQQ8azAFYmYdjdT8lxHOBWAu,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
11985Ge6vcD_YAw2q8qtDjoY269ABlVeu,10.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/10.jpg,image/jpeg,13tzvGOLrF0WjaPULv9PqbbUsjv8eGk3G,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1WrWyWnP9xZwPVlezDfUV5s6AAFyLSEQU,11.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/11.jpg,image/jpeg,1EkBwPmictsfkKfsPr1BRKWrHRJXF_tCb,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
11X-aEPiDrfKfK5cJcsWYxZb62wk5i5Aw,12.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/12.jpg,image/jpeg,1hciATIA-pJcxRi3oQDz5eeEWXOUyg5i_,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1hl0d8mk4VwtjEeM-dapUPxBHV5CLYMta,13.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/13.jpg,image/jpeg,1rNd6ST9L9uwgtKLS-i6qPixX_ahsPMIc,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1kh8bbcJSvXt8vSeKFS73ThjbQFwnxKTm,14.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/14.jpg,image/jpeg,1H_AQIbQqIHh0Ik28aCTA9IzqSxr0WDhT,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
124CSaWDshV2F4LBOLrQ_xNAS8UGKQkFa,2.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/2.jpg,image/jpeg,13m-HQ7bTy8fxaBpq7ICg2h8sM9kdRwZn,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1PwuKaWcFulOmnWnKxPVoV_o3k3BB-SqO,3.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/3.jpg,image/jpeg,1mXtzuiygm7SKPRPPQKUdTaq8sQ7haUM8,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1bSCjyjVCzbXNsFx9DjhH0ue_jZPNdCky,4.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/4.jpg,image/jpeg,17OI7iGTY27MfTMR1EodE3ZQ6zc261c46,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1W1hIBMoyjUX80UibvRBhcbTrR02oEj2b,5.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/5.jpg,image/jpeg,1NmDcCdlXhUd2g58Vw8WV04nOsISjyo_3,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
