source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
17eU1RzjcsVvNY8TAtKXyJ8tf6MFyHgDR,Melody - The Messenger Sparrow VOICEOVER.mp3,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow/Melody- The Messenger Sparrow-SESLENDİRME/Melody - The Messenger Sparrow VOICEOVER.mp3,audio/mpeg,18qdkiH2CGCPH_iocu_ixGClf7EW7_H2t,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow/Melody- The Messenger Sparrow-SESLENDİRME,COPIED,
1ymP6l9QiAoZTNLhU_AwgU9CdVqx-x6Z1,Melody - The Messenger Sparrow VOICEOVER.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow/Melody- The Messenger Sparrow-SESLENDİRME/Melody - The Messenger Sparrow VOICEOVER.wav,audio/wav,1_V-1ih-EC_je7njqDzECBCFJHoc-jg3x,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow/Melody- The Messenger Sparrow-SESLENDİRME,COPIED,
1Ly1lDHoG0VQtwtObniLtGPWymP3u_zH0,Melody- the messenger sparrow-GÖRSELLER.zip,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow/Melody- the messenger sparrow-GÖRSELLER.zip,application/zip,1JBWjnHXXw0q2Kcw3HQ2Ne3r27Rl5xnyh,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Melody- The Messenger Sparrow,COPIED,
1uYht7nFYtMoJwIYyoo1xTE6tnkJbHF3E,Melody- The Messenger Sparrow-voiceoer.zip,TELLPAL-ORTAK/Bipasha/Voiceover samples/Melody- The Messenger Sparrow-voiceoer.zip,application/x-zip-compressed,1IhFYwbn9G2QKmxpxEfwgTsFEULo26sxP,Haberci Nota/Bipasha/Voiceover samples,COPIED,
1ViO8DRdhcNBFCc3kDowZS0iRrozh1xK1,Melody- the messenger sparrow.zip,TELLPAL-ORTAK/GONCA- Çizimler/Melody- the messenger sparrow.zip,application/zip,1n71lfz6nahH1-e-s6qJnMJ5XHPY6piYZ,Haberci Nota/GONCA- Çizimler,COPIED,
1FraQ4-3JGdktUT9jjHXzrNIsBp5ItWR1,Melody the Messenger Sparrow.xmind,TELLPAL-ORTAK/ONAY ALMIŞ METİNLER/Xmind Dosyaları/Melody the Messenger Sparrow.xmind,application/x-zip,18smU3PizclReTi9sjOEu-TC_yogrQour,Haberci Nota/ONAY ALMIŞ METİNLER/Xmind Dosyaları,COPIED,
1kxdt0QJyy5uZHjEpgw6hcQST78Ft48lj,Melody - The Messenger Sparrow.docx,TELLPAL-ORTAK/ONAY ALMIŞ METİNLER/Yayınlanan İngilizce Hikaye Metinleri/Melody - The Messenger Sparrow.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1IdI7yUZg_h0CElpGBSfQ2qbS4XbGG6h4,Haberci Nota/ONAY ALMIŞ METİNLER/Yayınlanan İngilizce Hikaye Metinleri,COPIED,
